TOT_POP,0-9,0-9_y-o_%_of_total_pop,19-Oct,10-19_y-o_%_of_total_pop,20-29,20-29_y-o_%_of_total_pop,30-39,30-39_y-o_%_of_total_pop,40-49,40-49_y-o_%_of_total_pop,50-59,50-59_y-o_%_of_total_pop,60-69,60-69_y-o_%_of_total_pop,70-79,70-79_y-o_%_of_total_pop,80+,80+_y-o_%_of_total_pop,White-alone_pop,%_White-alone,Black-alone_pop,%_Black-alone,Native_American-American_Indian-alone_pop,%_NA-AI-alone,Asian-alone_pop,%_Asian-alone,Hawaiian-Pacific_Islander-alone_pop,%_Hawaiian-PI-alone,Two_or_more_races_pop,%_Two_or_more_races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,Percent_of_Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
35285,3510,9.947569789,3775,10.69859714,3337,9.457276463,3483,9.871050021,3552,10.06660054,4822,13.66586368,5760,16.32421709,4686,13.28043078,2360,6.688394502,33627,95.30111946,573,1.623919513,290,0.821878985,366,1.037267961,20,0.056681309,409,1.159132776,35285,661,306,9.6,11.7,-2.1,0.7,20.3,21.0,2938,7914,8768,6252,5700,16.3,26.1,26.5,46426,15316,14717,599,46426,86.1,255.0,223.5,86.2,78.1,7.1,6.2,16.02902889,14.41491214,0.38059174,17.17760039,13.6741175,50.90074704,5,34160,12106,35.4,43,33,37,113,28695,12800,31.6,9068,10.5,3027,10.6,3030,14.3,4098,3.9,1130,6
21763,2047,9.405872352,2601,11.95147728,2645,12.15365529,2381,10.94058724,2609,11.98823692,2971,13.65161053,3279,15.06685659,2132,9.796443505,1098,5.045260304,20888,95.9794146,334,1.534714883,115,0.528419795,109,0.500850067,10,0.045949547,307,1.410651105,21763,186,1147,8.5,10.9,-2.4,0.5,10.4,10.9,2229,4678,4136,4213,3502,17.0,23.0,22.4,44693,10144,9777,367,44693,82.9,255.0,223.5,86.2,78.1,7.1,6.2,9.886347054,8.890795888,0.234740485,10.59476031,8.4338903,31.39444404,0,21347,6084,28.5,44,33,37,115,17870,8011,32.2,5754,9.2,1651,9.9,1763,12.4,2217,3.5,622,3
22671,2451,10.81116845,2606,11.49486128,2454,10.82440122,2197,9.690794407,2556,11.2743152,3206,14.14141414,3624,15.9851793,2351,10.37007631,1226,5.407789687,12513,55.19386,9585,42.27868202,111,0.48961228,127,0.560187023,43,0.189669622,292,1.287989061,22671,-105,145,10.3,13.4,-3.1,0.0,-1.5,-1.5,2767,5712,5301,2788,4571,20.3,30.6,30.2,43569,9295,8832,463,43569,80.8,255.0,223.5,86.2,78.1,7.1,6.2,10.29882709,9.261739355,0.244534372,11.0367969,8.785770666,32.70428897,6,23227,6835,29.4,318,33,37,117,18084,9889,39.6,7161,10.4,1887,10.8,1959,18.2,3294,4.5,810,6
1093901,143280,13.09807743,142049,12.9855444,167915,15.35010938,173987,15.90518703,153683,14.04907757,135184,12.35797389,98578,9.011601598,52158,4.768073162,27067,2.47435554,628585,57.46269544,359817,32.89301317,8553,0.781880627,69595,6.362093096,1126,0.102934361,26225,2.39738331,1093901,16590,17480,13.6,6.2,7.4,5.6,2.3,7.9,69881,122374,196799,315345,126098,11.7,17.5,16.4,64509,611673,588987,22686,64509,119.6,255.0,223.5,86.2,78.1,7.1,6.2,496.9298777,446.8892392,11.79905582,532.5377426,423.9232198,1578.018367,173,1034290,156489,15.1,1225,33,37,119,836188,292013,29.6,247512,5.4,44960,5.6,46789,9.5,79452,2.6,21952,1
15000,1449,9.66,1567,10.44666667,1560,10.4,1524,10.16,1793,11.95333333,2168,14.45333333,2328,15.52,1716,11.44,895,5.966666667,14441,96.27333333,104,0.693333333,138,0.92,100,0.666666667,26,0.173333333,191,1.273333333,15000,21,197,9.1,15.3,-6.2,1.3,6.4,7.7,1721,3744,3580,2091,2383,16.1,23.9,23.2,43967,6025,5755,270,43967,81.5,255.0,223.5,86.2,78.1,7.1,6.2,6.814097588,6.127920706,0.161793286,7.302366612,5.813001631,21.63840741,0,15155,4846,32.0,406,33,37,121,12260,5682,32.8,4021,10.2,1251,10.7,1307,13.7,1678,3.8,461,6
27271,3042,11.15470646,3585,13.14583257,3189,11.6937406,2782,10.20131275,3307,12.12643467,3755,13.76920538,3852,14.12489458,2539,9.310256316,1220,4.473616662,20870,76.52818012,5184,19.00920392,291,1.067067581,433,1.587767225,16,0.058670382,477,1.749110777,27271,-76,1061,10.3,9.9,0.4,-0.4,-2.6,-3.1,3933,6628,5637,2795,4379,16.7,26.1,24.1,47757,11588,11129,459,47757,88.6,255.0,223.5,86.2,78.1,7.1,6.2,12.38848369,11.14096837,0.29415098,13.27618933,10.5684245,39.34006724,0,27445,7131,26.0,50,33,37,123,21264,10829,37.1,7889,10.0,2117,10.7,2277,15.6,3325,4.0,842,6
98682,11583,11.73770292,11299,11.44990981,9789,9.919742202,12122,12.28390183,11119,11.26750573,12421,12.58689528,13138,13.31347156,10635,10.77704141,6576,6.66382927,81974,83.06884741,12028,12.18864636,917,0.929247482,1548,1.568675138,166,0.168217101,2049,2.076366511,98682,1450,794,11.5,11.9,-0.4,0.4,14.8,15.1,6633,15230,21771,25502,10263,10.5,14.9,14.1,59471,41079,39523,1556,59471,110.3,255.0,223.5,86.2,78.1,7.1,6.2,44.82858521,40.31436474,1.06440567,48.04080947,38.24257513,142.3547547,68,94191,28522,30.3,1226,33,37,125,77656,30214,30.1,23374,8.7,6755,8.2,6334,12.1,9369,3.5,2692,5
94016,10782,11.46826072,12221,12.99885126,11779,12.52871852,10376,11.03641933,11573,12.30960688,13361,14.21141082,12396,13.18498979,7752,8.245405037,3776,4.016337645,51661,54.94915759,38591,41.04726855,939,0.998766168,970,1.031739278,76,0.080837304,1779,1.89223111,94016,4,2124,11.0,11.1,-0.1,0.5,-0.3,0.2,9439,21746,19963,13505,13024,14.2,22.8,20.7,50122,43288,41097,2191,50122,93.0,255.0,223.5,86.2,78.1,7.1,6.2,42.70894659,38.40817287,1.014077172,45.76928663,36.43434409,135.6237674,21,94125,22363,23.8,1227,33,37,127,73444,36526,38.2,28056,8.5,6246,8.9,6521,15.0,11033,3.7,2711,4
232274,23172,9.976148859,27760,11.95140222,38119,16.41122123,29304,12.61613439,28785,12.39269139,29037,12.50118395,28650,12.33457038,18313,7.884222944,9134,3.932424636,190329,81.94158623,31822,13.7001989,1307,0.562697504,3627,1.561517863,260,0.111936764,4929,2.122062736,232274,3617,8512,9.7,8.6,1.0,0.7,13.9,14.6,10768,32914,49018,59967,34250,15.3,19.3,20.0,53419,120980,116493,4487,53419,99.1,255.0,223.5,86.2,78.1,7.1,6.2,105.5158469,94.8904436,2.505358247,113.0766602,90.01394273,335.0692963,57,219866,48907,22.2,1228,33,37,129,189474,71412,30.3,57411,7.1,13454,7.4,13946,10.5,19936,3.0,5634,3
19676,1788,9.087212848,1980,10.06302094,2204,11.20146371,1834,9.321000203,2062,10.47977231,2913,14.80483838,3349,17.02073592,2289,11.63346209,1257,6.388493596,7916,40.23175442,11305,57.4557837,126,0.64037406,58,0.294775361,6,0.030494003,265,1.346818459,19676,-237,745,9.6,15.2,-5.6,1.0,-7.2,-6.3,3088,5964,4052,1925,4043,21.4,34.3,34.7,37233,7628,7236,392,37233,69.0,255.0,223.5,86.2,78.1,7.1,6.2,8.938278943,8.038197854,0.212229646,9.578757697,7.625108007,28.38382029,0,20426,6480,31.7,1229,33,37,131,16258,9392,41.7,6780,11.5,1870,11.9,1935,20.5,3331,5.0,819,5
